<?xml version="1.0" encoding="UTF-8"?>
filename,line,severity,message,source
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,0,error,File does not end with a newline.,com.puppycrawl.tools.checkstyle.checks.NewlineAtEndOfFileCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,0,error,Missing package-info.java file.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocPackageCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,6,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTypeCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,10,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,11,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,12,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,13,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,14,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,15,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,16,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,17,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,18,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,19,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,20,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,21,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,22,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,23,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,24,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,25,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,26,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,27,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,31,error,Method 'getUsername' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,31,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,35,error,Method 'setUsername' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,35,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,35,error,Parameter username should be final.,com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,35,error,'username' hides a field.,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,39,error,Method 'getPassword' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,39,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,43,error,Method 'setPassword' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,43,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,43,error,Parameter password should be final.,com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,43,error,'password' hides a field.,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,47,error,Method 'getEmail' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,47,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,51,error,Method 'setEmail' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,51,error,Missing a Javadoc comment.,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,51,error,Parameter email should be final.,com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,51,error,'email' hides a field.,com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck
E:\Ci_Workspace\workspace\IDPAntTestoing\JPetStore\src\com\ibatis\jpetstore\domain\Account.java,55,error,Method 'getFirstName' is not designed for extension - needs to be abstract, final or empty.,com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck
